,N_img,x_c,y_c,var_ch_1,var_ch_2,var_ch_3,mean_ch_1,mean_ch_2,mean_ch_3
0,crop.jpg,15,24,13.528010065013882,19.209099468805157,17.090711833516004,161.66035271064663,113.82691051600261,107.47615937295885
1,crop.jpg,45,17,25.044461926299284,19.059856788026323,19.991724739686674,167.7528583992964,121.7080035180299,111.44327176781003
2,crop.jpg,81,16,59.12416107568601,55.694874113533174,57.27640023086532,178.96947133283695,134.14892032762472,118.79076693968727
3,crop.jpg,115,19,121.32769206687487,142.1368435414921,118.10125149730173,147.50869167429093,104.30009149130832,88.18481244281793
4,crop.jpg,150,14,88.61551632368132,73.87249895178402,52.0809665890589,170.57571528262386,133.22679692951849,114.26936496859734
5,crop.jpg,199,17,132.5573071865393,91.85096236294784,127.5401555934265,177.9463776383343,137.47062179121505,123.24015972618369
6,crop.jpg,269,11,248.04637616266896,230.07099872927824,215.14831790017885,161.57605985037407,112.16458852867831,92.68079800498754
7,crop.jpg,316,21,68.0782900550955,64.85558400637599,67.92388046754219,161.97367226509306,108.27462551066728,91.0349523377213
8,crop.jpg,355,28,59.869360039617185,119.30793394316943,97.40704613951341,148.06253458771445,90.1737686773658,71.9136690647482
9,crop.jpg,400,17,76.92416915484003,99.42909248365382,69.71141589515722,149.5494748479823,97.91597567716971,82.30569375345495
10,crop.jpg,248,29,80.19281811182377,74.67562809555014,72.08230739263047,182.0698951572641,147.19570644033948,122.46929605591613
11,crop.jpg,58,50,68.25073177622791,87.35822616245174,74.09583983967366,175.5230574857865,134.3158559696778,124.50473783954517
12,crop.jpg,193,46,139.19100171262804,226.84107272790823,174.37108740757688,119.95098039215686,79.64260249554367,68.42602495543672
13,crop.jpg,395,56,20.26713182475183,33.90632335474942,30.428068053464344,137.6019367991845,85.1788990825688,73.23037716615698
14,crop.jpg,122,52,269.2687045375126,210.07859661694596,262.94534994331894,113.80942516830657,54.4774728120145,48.63127912998446
15,crop.jpg,239,59,89.19877087633701,155.63077366431654,102.43921017459337,147.8835616438356,111.04794520547945,94.18003913894324
16,crop.jpg,78,73,118.90643577118568,137.3941687005973,144.76463820831125,126.61834654586636,77.30464326160815,68.74631936579841
17,crop.jpg,167,55,518.3603845637197,427.4721973752059,482.7294800614816,81.53658536585365,28.281667977970102,27.177025963808024
18,crop.jpg,286,62,131.18436872163267,122.84629173296773,126.63150338629514,185.92348565356005,156.3278427205101,132.98352816153027
19,crop.jpg,18,63,71.7008211247637,83.03320927851293,75.30808177772528,161.9836956521739,121.66847826086956,108.91032608695652
20,crop.jpg,350,61,65.20150910459719,71.0059875494193,68.93537849237028,155.11350148367953,104.82789317507418,91.81305637982196
21,crop.jpg,325,69,149.6210563579944,191.57940855355804,191.16996683902434,174.87859824780975,137.3892365456821,120.40675844806007
22,crop.jpg,211,80,92.84393852341282,105.61881114542437,87.63025272112101,79.55932203389831,19.551553672316384,20.153954802259886
23,crop.jpg,92,88,85.51817281759563,91.05115688356378,86.06090640306282,116.57381889763779,51.75492125984252,44.26082677165354
